SObject: SObject Name,SObjectField: SObjectField Name,type,isCustom
Opportunity,NextStep,STRING,0
Opportunity,LeadSource,PICKLIST,0
Opportunity,IsClosed,BOOLEAN,0
Opportunity,IsWon,BOOLEAN,0
Opportunity,ForecastCategory,PICKLIST,0
Opportunity,ForecastCategoryName,PICKLIST,0
Opportunity,CampaignId,REFERENCE,0
Opportunity,HasOpportunityLineItem,BOOLEAN,0
Opportunity,Pricebook2Id,REFERENCE,0
Opportunity,OwnerId,REFERENCE,0
Opportunity,CreatedDate,DATETIME,0
Opportunity,CreatedById,REFERENCE,0
Opportunity,LastModifiedDate,DATETIME,0
Opportunity,LastModifiedById,REFERENCE,0
Pricebook2,Id,ID,0
Pricebook2,IsDeleted,BOOLEAN,0
Contract,SystemModstamp,DATETIME,0
Contract,LastActivityDate,DATE,0
Contract,LastViewedDate,DATETIME,0
Contract,LastReferencedDate,DATETIME,0
Contact,Department,STRING,0
Contact,AssistantName,STRING,0
